SObject: SObject Name,SObjectField: SObjectField Name,type,isCustom
Contact,MailingPostalCode,STRING,0
Contact,MailingCountry,STRING,0
Contact,MailingLatitude,DOUBLE,0
Contact,MailingLongitude,DOUBLE,0
Lead,ProductInterest__c,PICKLIST,0
Lead,Primary__c,PICKLIST,0
Lead,CurrentGenerators__c,STRING,0
Lead,NumberofLocations__c,DOUBLE,0
User,UserPreferencesShowStateToGuestUsers,BOOLEAN,0
User,UserPreferencesShowPostalCodeToGuestUsers,BOOLEAN,0
User,UserPreferencesShowCountryToGuestUsers,BOOLEAN,0
User,UserPreferencesDisableFeedbackEmail,BOOLEAN,0
User,UserPreferencesDisableWorkEmail,BOOLEAN,0
User,UserPreferencesHideS1BrowserUI,BOOLEAN,0
User,UserPreferencesDisableEndorsementEmail,BOOLEAN,0
User,UserPreferencesPathAssistantCollapsed,BOOLEAN,0
User,UserPreferencesCacheDiagnostics,BOOLEAN,0
User,UserPreferencesShowEmailToGuestUsers,BOOLEAN,0
User,UserPreferencesShowManagerToGuestUsers,BOOLEAN,0
User,UserPreferencesShowWorkPhoneToGuestUsers,BOOLEAN,0
User,UserPreferencesShowMobilePhoneToGuestUsers,BOOLEAN,0
User,UserPreferencesShowFaxToGuestUsers,BOOLEAN,0
User,UserPreferencesShowStreetAddressToGuestUsers,BOOLEAN,0
User,UserPreferencesLightningExperiencePreferred,BOOLEAN,0
User,UserPreferencesPreviewLightning,BOOLEAN,0
User,UserPreferencesHideEndUserOnboardingAssistantModal,BOOLEAN,0
User,UserPreferencesHideLightningMigrationModal,BOOLEAN,0
Contact,MailingGeocodeAccuracy,PICKLIST,0
Contact,MailingAddress,ADDRESS,0
Contact,Phone,PHONE,0
Contact,Fax,PHONE,0
Contact,MobilePhone,PHONE,0
Contact,HomePhone,PHONE,0
Contact,OtherPhone,PHONE,0
Contact,AssistantPhone,PHONE,0
Contact,ReportsToId,REFERENCE,0
Contact,Email,EMAIL,0
Contact,Title,STRING,0
Case,Id,ID,0
Case,IsDeleted,BOOLEAN,0
Case,CaseNumber,STRING,0
Case,ContactId,REFERENCE,0
Case,AccountId,REFERENCE,0
Case,AssetId,REFERENCE,0
//Case,BusinessHoursId,REFERENCE,0
Case,ParentId,REFERENCE,0
Case,SuppliedName,STRING,0
Case,SuppliedEmail,EMAIL,0
Case,SuppliedPhone,STRING,0
Case,SuppliedCompany,STRING,0
Case,Type,PICKLIST,0
Case,Status,PICKLIST,0
Case,Reason,PICKLIST,0
User,UserPreferencesHideSfxWelcomeMat,BOOLEAN,0
User,UserPreferencesHideBiggerPhotoCallout,BOOLEAN,0
User,ContactId,REFERENCE,0
User,AccountId,REFERENCE,0
User,CallCenterId,REFERENCE,0
User,Extension,PHONE,0
User,FederationIdentifier,STRING,0
User,AboutMe,TEXTAREA,0
User,FullPhotoUrl,URL,0
User,SmallPhotoUrl,URL,0
User,MediumPhotoUrl,URL,0
User,DigestFrequency,PICKLIST,0
User,DefaultGroupNotificationFrequency,PICKLIST,0
User,JigsawImportLimitOverride,INTEGER,0
User,LastViewedDate,DATETIME,0
User,LastReferencedDate,DATETIME,0
User,BannerPhotoUrl,URL,0
User,IsProfilePhotoActive,BOOLEAN,0
Campaign,NumberOfContacts,INTEGER,0
Campaign,NumberOfResponses,INTEGER,0
Campaign,NumberOfOpportunities,INTEGER,0
Campaign,NumberOfWonOpportunities,INTEGER,0
Campaign,AmountAllOpportunities,CURRENCY,0
Campaign,AmountWonOpportunities,CURRENCY,0
Campaign,HierarchyNumberOfLeads,INTEGER,0
Case,Origin,PICKLIST,0
Case,Subject,STRING,0
Case,Priority,PICKLIST,0
Case,Description,TEXTAREA,0
Case,IsClosed,BOOLEAN,0
Case,ClosedDate,DATETIME,0
Case,IsEscalated,BOOLEAN,0
Case,OwnerId,REFERENCE,0
//Case,IsClosedOnCreate,BOOLEAN,0
Case,CreatedDate,DATETIME,0
Case,CreatedById,REFERENCE,0
Case,LastModifiedDate,DATETIME,0
Case,LastModifiedById,REFERENCE,0
Case,SystemModstamp,DATETIME,0
Case,LastViewedDate,DATETIME,0
Case,LastReferencedDate,DATETIME,0
Contract,BillingCountry,STRING,0
Contract,BillingLatitude,DOUBLE,0
Contract,BillingLongitude,DOUBLE,0
Contract,BillingGeocodeAccuracy,PICKLIST,0
Contract,BillingAddress,ADDRESS,0
Contract,ShippingStreet,TEXTAREA,0
Contract,ShippingCity,STRING,0
Contract,ShippingState,STRING,0
Contract,ShippingPostalCode,STRING,0
Contract,ShippingCountry,STRING,0
Campaign,HierarchyNumberOfConvertedLeads,INTEGER,0
Campaign,HierarchyNumberOfContacts,INTEGER,0
Campaign,HierarchyNumberOfResponses,INTEGER,0
Campaign,HierarchyNumberOfOpportunities,INTEGER,0
Campaign,HierarchyNumberOfWonOpportunities,INTEGER,0
Campaign,HierarchyAmountAllOpportunities,CURRENCY,0
